 Altitude (ft) , Speed (mph), Fuel (gal/hr)
493.5612,31.68993,1.380258
493.9006,32.3113,1.370588
498.1206,34.79679,1.99566
497.644,36.03953,1.36795
501.058,36.6609,1.441799
500.3714,37.28227,1.412787
499.8255,39.14639,1.353005
498.2449,39.76776,1.345972
498.3893,41.0105,1.062008
499.586,41.0105,1.001347
500.9893,41.63187,0.3226464
502.0979,41.0105,0.3938572
504.0116,41.0105,0.6110061
503.6091,41.0105,1.064645
500.5824,42.25324,1.200034
501.7188,42.87461,0.960906
504.1396,42.87461,0.6074895
502.158,42.87461,0.4808926
502.6415,43.49598,1.056733
493.5898,43.49598,0.8562877
493.0786,44.11736,0.9943135
493.3335,44.11736,1.029479
489.2148,44.11736,1.029479
485.2067,44.73873,0.5468285
485.2515,44.11736,0.374516
487.7802,44.11736,0.5327622
493.6871,43.49598,0.6989207
471.6762,43.49598,0.7340865
469.9164,43.49598,0.2655019
468.4306,42.25324,0.2593479
456.6815,41.63187,0.2786891
464.3127,41.0105,0.4395728
469.6059,41.0105,0.4395728
471.4648,40.38913,0.6154018
475.2816,41.0105,0.1881371
476.1693,40.38913,0.3727577
477.5735,39.76776,0.5186958
474.4286,39.76776,0.8729914
475.2222,39.76776,0.9028824
477.2513,40.38913,0.2259404
476.0013,39.76776,0.1494547
474.9166,39.14639,0.1916537
473.002,38.52501,0.193412
472.5916,37.90364,0.1969286
475.4509,37.28227,0.2013243
477.8887,36.6609,0.1969286
476.3454,36.03953,0.719141
475.3249,36.03953,0.8598043
481.3533,36.03953,0.9028824
482.0124,36.6609,0.9037616
485.8455,37.28227,0.9811264
486.9026,37.90364,1.007501
486.1699,38.52501,1.025084
469.2685,38.52501,1.027721
471.2034,39.14639,0.9740932
473.3637,39.76776,0.3006678
472.0074,39.14639,0.1890163
481.3687,39.14639,0.3156132
483.313,38.52501,0.4826509
480.5425,38.52501,0.7296907
478.3276,38.52501,0.4984755
483.8792,38.52501,0.1951703
472.6967,37.90364,1.041787
475.8884,39.14639,1.278278
475.9373,39.76776,0.8070555
474.939,40.38913,0.5160584
474.0121,39.76776,0.4659471
473.6348,39.76776,0.4501225
472.3615,39.76776,0.4527599
471.4926,39.76776,0.4615514
472.5537,39.76776,0.3973738
471.5116,39.76776,0.1723125
473.0251,39.14639,0.4035278
472.1194,39.14639,0.4501225
472.8939,38.52501,0.1881371
469.9515,37.90364,0.5327622
466.9458,37.28227,0.5143001
465.5815,37.28227,0.5143001
463.6954,37.28227,0.471222
463.1746,37.28227,0.5644114
466.6154,37.28227,0.7068329
464.98,37.28227,0.7367239
465.9542,37.90364,0.4246273
462.9973,37.28227,0.229457
459.3128,36.6609,0.193412
464.9409,36.6609,0.2048409
465.8376,35.41816,0.2022035
466.1754,34.79679,0.20572
465.3234,34.17542,0.4967172
465.5309,33.55404,0.4852883
467.463,33.55404,0.755186
466.6925,34.17542,1.336301
475.1848,35.41816,1.394325
477.6614,36.03953,1.334543
477.2965,36.6609,0.1925329
476.7082,36.6609,0.1802248
479.8246,37.28227,1.497185
480.2261,37.28227,1.373225
487.7312,37.90364,0.7745272
486.3837,38.52501,0.7965058
497.288,39.14639,0.1608836
